,0,1,2,3,4,5,,,,,,,,,,,,,,,,
0,run_0,FD001-->FD002,20.76631396,5065.67468,19.59814255,4394.366125,,,,,,,,,,,,,,,,
1,mean,0,0,0,19.6,4394.37,,,,,,,,,,,,,,,,
2,std,0,0,0,0,0,,,,,,,,,,,,,,,,
3,run_0,FD001-->FD003,48.52335205,23762.0978,38.00040283,8921.132313,,,,,,,,,,,,,,,,
4,mean,0,0,0,38,8921.13,,,,,,,,,,,,,,,,
5,std,0,0,0,0,0,,,,,,,,,,,,,,,,
6,run_0,FD001-->FD004,34.14751595,12518.81861,32.18389,17646.13426,,,,,,,,,,,,,,,,
7,mean,0,0,0,32.18,17646.13,,,,,,,,,,,,,,,,
8,std,0,0,0,0,0,,,,,,,,,,,,,,,,
9,run_0,FD002-->FD001,15.47949939,657.2163912,14.06332407,369.9932127,,,,,,,,,,,,,,,,
10,mean,0,0,0,14.06,369.99,,,,,,,,,,,,,,,,
11,std,0,0,0,0,0,,,,,,,,,,,,,,,,
12,run_0,FD002-->FD003,33.98748589,3504.472793,32.08176212,3750.636664,,,,,,,,,,,,,,,,
13,mean,0,0,0,32.08,3750.64,,,,,,,,,,,,,,,,
14,std,0,0,0,0,0,,,,,,,,,,,,,,,,
15,run_0,FD002-->FD004,36.08407425,12715.06422,35.60614403,18529.04486,,,,,,,,,,,,,,,,
16,mean,0,0,0,35.61,18529.04,,,,,,,,,,,,,,,,
17,std,0,0,0,0,0,,,,,,,,,,,,,,,,
18,run_0,FD003-->FD001,47.95379982,227092.6656,42.60817947,149427.7425,,,,,,,,,,,,,,,,
19,mean,0,0,0,42.61,149427.74,,,,,,,,,,,,,,,,
20,std,0,0,0,0,0,,,,,,,,,,,,,,,,
21,run_0,FD003-->FD002,47.65195839,1200915.419,38.54852728,499618.0707,,,,,,,,,,,,,,,,
22,mean,0,0,0,38.55,499618.07,,,,,,,,,,,,,,,,
23,std,0,0,0,0,0,,,,,,,,,,,,,,,,
24,run_0,FD003-->FD004,27.95537048,118962.2157,28.52582623,26632.46567,,,,,,,,,,,,,,,,
25,mean,0,0,0,28.53,26632.47,,,,,,,,,,,,,,,,
26,std,0,0,0,0,0,,,,,,,,,,,,,,,,
27,run_0,FD004-->FD001,39.29979343,161724.2676,37.85761623,120306.5929,,,,,,,,,,,,,,,,
28,mean,0,0,0,37.86,120306.59,,,,,,,,,,,,,,,,
29,std,0,0,0,0,0,,,,,,,,,,,,,,,,
30,run_0,FD004-->FD002,31.31064525,96527.0635,28.85750558,63768.02497,,,,,,,,,,,,,,,,
31,mean,0,0,0,28.86,63768.02,,,,,,,,,,,,,,,,
32,std,0,0,0,0,0,,,,,,,,,,,,,,,,
33,run_0,FD004-->FD003,19.25913982,1861.005545,14.02598944,402.1710307,,,,,,,,,,,,,,,,
34,mean,0,0,0,14.03,402.17,,,,,,,,,,,,,,,,
35,std,0,0,0,0,0,,,,,,,,,,,,,,,,
36,FD001-->FD002,mean,19.60+\-0.00,,,,,,,,,,,,,,,,,,,
37,FD001-->FD002,std,4394.37+\-0.00,,,,,,,,,,,,,,,,,,,
38,FD001-->FD003,mean,38.00+\-0.00,,,,,,,,,,,,,,,,,,,
39,FD001-->FD003,std,8921.13+\-0.00,,,,,,,,,,,,,,,,,,,
40,FD001-->FD004,mean,32.18+\-0.00,,,,,,,,,,,,,,,,,,,
41,FD001-->FD004,std,17646.13+\-0.00,,,,,,,,,,,,,,,,,,,
42,FD002-->FD001,mean,14.06+\-0.00,,,,,,,,,,,,,,,,,,,
43,FD002-->FD001,std,369.99+\-0.00,,,,,,,,,,,,,,,,,,,
44,FD002-->FD003,mean,32.08+\-0.00,,,,,,,,,,,,,,,,,,,
45,FD002-->FD003,std,3750.64+\-0.00,,,,,,,,,,,,,,,,,,,
46,FD002-->FD004,mean,35.61+\-0.00,,,,,,,,,,,,,,,,,,,
47,FD002-->FD004,std,18529.04+\-0.00,,,,,,,,,,,,,,,,,,,
48,FD003-->FD001,mean,42.61+\-0.00,,,,,,,,,,,,,,,,,,,
49,FD003-->FD001,std,149427.74+\-0.00,,,,,,,,,,,,,,,,,,,
50,FD003-->FD002,mean,38.55+\-0.00,,,,,,,,,,,,,,,,,,,
51,FD003-->FD002,std,499618.07+\-0.00,,,,,,,,,,,,,,,,,,,
52,FD003-->FD004,mean,28.53+\-0.00,,,,,,,,,,,,,,,,,,,
53,FD003-->FD004,std,26632.47+\-0.00,,,,,,,,,,,,,,,,,,,
54,FD004-->FD001,mean,37.86+\-0.00,,,,,,,,,,,,,,,,,,,
55,FD004-->FD001,std,120306.59+\-0.00,,,,,,,,,,,,,,,Different Epochs for each domain FD003,,,,
56,FD004-->FD002,mean,28.86+\-0.00,,,,,,,,,,,,,,,FD001-->FD002,19.6,0,4394.37,0
57,FD004-->FD002,std,63768.02+\-0.00,,,,,,,,,,,,,,,FD001-->FD003,38,0,8921.13,0
58,FD004-->FD003,mean,14.03+\-0.00,,,,,,,,,,,,,,,FD001-->FD004,32.18,0,17646.13,0
59,FD004-->FD003,std,402.17+\-0.00,,,,,,,,,,,,,,,FD002-->FD001,14.06,0,369.99,0
60,FD001-->FD002,19.6,0,4394.37,0,,,,,,,,,,,,,FD002-->FD003,32.08,0,3750.64,0
61,FD001-->FD003,38,0,8921.13,0,,,,,,,,,,,,,FD002-->FD004,35.61,0,18529.04,0
62,FD001-->FD004,32.18,0,17646.13,0,,,,,,,,,,,,,FD003-->FD001,24.15,0,4373.98,0
63,FD002-->FD001,14.06,0,369.99,0,,,,,,,,,,,,,FD003-->FD002,40.26,0,78007.38,0
64,FD002-->FD003,32.08,0,3750.64,0,,,,,,,,,,,,,FD003-->FD004,29.69,0,25934.28,0
65,FD002-->FD004,35.61,0,18529.04,0,,,,,,,,,,,,,FD004-->FD001,37.86,0,120306.59,0
66,FD003-->FD001,42.61,0,149427.74,0,,,,,,,,,,,,,FD004-->FD002,28.86,0,63768.02,0
67,FD003-->FD002,38.55,0,499618.07,0,,,,,,,,,,,,,FD004-->FD003,14.03,0,402.17,0
68,FD003-->FD004,28.53,0,26632.47,0,,,,,,,,,,,,,,28.865,,28866.97667,
69,FD004-->FD001,37.86,0,120306.59,0,,,,,,,,,,,,,,,,,
70,FD004-->FD002,28.86,0,63768.02,0,,,,,,Same EPochs Epochs for each domain 20 epoch FD003,,,,,,,Same EPochs Epochs for each domain (30),,,,
71,FD004-->FD003,14.03,0,402.17,0,,,,,,FD001-->FD002,19.6,0,4394.37,0,,,FD001-->FD002,19.6,0,4394.37,0
,,30.16416667,,76147.19667,,,,,,,FD001-->FD003,38,0,8921.13,0,,,FD001-->FD003,38,0,8921.13,0
,,,,,,,,,,,FD001-->FD004,32.18,0,17646.13,0,,,FD001-->FD004,32.18,0,17646.13,0
,,,,,,,,,,,FD002-->FD001,14.06,0,369.99,0,,,FD002-->FD001,14.06,0,369.99,0
,,,,,,,,,,,FD002-->FD003,32.08,0,3750.64,0,,,FD002-->FD003,32.08,0,3750.64,0
,,,,,,,,,,,FD002-->FD004,35.61,0,18529.04,0,,,FD002-->FD004,35.61,0,18529.04,0
,,,,,,,,,,,FD003-->FD001,28.01,0,1926.65,0,,,FD003-->FD001,20.63,0,1523.84,0
,,,,,,,,,,,FD003-->FD002,35.88,0,74786.5,0,,,FD003-->FD002,38.88,0,67845.7,0
,,,,,,,,,,,FD003-->FD004,30.99,0,112365.94,0,,,FD003-->FD004,30.6,0,128063.94,0
,,,,,,,,,,,FD004-->FD001,37.86,0,120306.59,0,,,FD004-->FD001,37.86,0,120306.59,0
,,,,,,,,,,,FD004-->FD002,28.86,0,63768.02,0,,,FD004-->FD002,28.86,0,63768.02,0
,,,,,,,,,,,FD004-->FD003,14.03,0,402.17,0,,,FD004-->FD003,14.03,0,402.17,0
,,,,,,,,,,,,,,38796.81818,,,,,28.5325,,36293.46333,
,,,,,,,,,,,,28.93,,,,,,,,,,
